anime_id,name,genre,type,episodes,ave_rating,members,all_content
6594,Katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,12,8,207241,action adventure historical martial arts romance tv 8
11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8,85361,drama magic psychological thriller movie 8
7655,Major S6,"Comedy, Drama, Sports",TV,25,8,24788,comedy drama sports tv 8
2246,Mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,12,8,88850,demons fantasy historical horror mystery seinen supernatural tv 8
25835,Shirobako,"Comedy, Drama",TV,24,8,146895,comedy drama tv 8
2921,Ashita no Joe 2,"Drama, Sports",TV,47,8,6259,drama sports tv 8
136,Hunter x Hunter,"Action, Adventure, Shounen, Super Power",TV,62,8,166255,action adventure shounen super power tv 8
30503,Noragami Aragoto,"Action, Adventure, Shounen, Supernatural",TV,13,8,299434,action adventure shounen supernatural tv 8
12531,Sakamichi no Apollon,"Drama, Josei, Music, Romance, School",TV,12,8,146592,drama josei music romance school tv 8
523,Tonari no Totoro,"Adventure, Comedy, Supernatural",Movie,1,8,271484,adventure comedy supernatural movie 8
467,Ghost in the Shell: Stand Alone Complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26,8,194491,action mecha military police scifi seinen tv 8
572,Kaze no Tani no Nausicaä,"Adventure, Fantasy",Movie,1,8,143273,adventure fantasy movie 8
19815,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12,8,602291,adventure comedy ecchi fantasy game supernatural tv 8
2559,Romeo no Aoi Sora,"Adventure, Drama, Historical, Slice of Life",TV,33,8,15074,adventure drama historical slice of life tv 8
392,Yuu☆Yuu☆Hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112,8,195017,action comedy demons fantasy martial arts school shounen tv 8
486,Kino no Tabi: The Beautiful World,"Action, Adventure, Slice of Life",TV,13,8,102822,action adventure slice of life tv 8
11771,Kuroko no Basket,"Comedy, School, Shounen, Sports",TV,25,8,338315,comedy school shounen sports tv 8
1698,Nodame Cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,23,8,157025,comedy drama josei music romance slice of life tv 8
5341,Ookami to Koushinryou II,"Adventure, Fantasy, Historical, Romance",TV,12,8,210491,adventure fantasy historical romance tv 8
25781,Shingeki no Kyojin: Kuinaki Sentaku,"Action, Fantasy, Shoujo, Supernatural",OVA,2,8,92543,action fantasy shoujo supernatural ova 8
10863,Steins;Gate: Oukoubakko no Poriomania,"Sci-Fi, Thriller",Special,1,8,159548,scifi thriller special 8
28701,Fate/stay night: Unlimited Blade Works 2nd Season,"Action, Fantasy, Magic, Shounen, Supernatural",TV,13,8,205987,action fantasy magic shounen supernatural tv 8
5420,Kemono no Souja Erin,"Drama, Fantasy",TV,50,8,36751,drama fantasy tv 8
9260,Kizumonogatari I: Tekketsu-hen,"Mystery, Supernatural, Vampire",Movie,1,8,99579,mystery supernatural vampire movie 8
32,Neon Genesis Evangelion: The End of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1,8,215630,dementia drama mecha psychological scifi movie 8
4224,Toradora!,"Comedy, Romance, School, Slice of Life",TV,25,8,633817,comedy romance school slice of life tv 8
2236,Toki wo Kakeru Shoujo,"Adventure, Drama, Romance, Sci-Fi",Movie,1,8,289206,adventure drama romance scifi movie 8
2685,Tsubasa: Tokyo Revelations,"Action, Adventure, Drama, Fantasy, Romance, Shounen",OVA,3,8,57963,action adventure drama fantasy romance shounen ova 8
31181,Owarimonogatari,"Comedy, Mystery, Supernatural",TV,12,8,107855,comedy mystery supernatural tv 8
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,94,8,218928,action adventure comedy historical romance samurai tv 8
2418,Stranger: Mukou Hadan,"Action, Adventure, Historical, Samurai",Movie,1,8,125503,action adventure historical samurai movie 8
1365,Detective Conan Movie 06: The Phantom of Baker Street,"Adventure, Mystery, Police, Shounen",Movie,1,8,28462,adventure mystery police shounen movie 8
22297,Fate/stay night: Unlimited Blade Works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,12,8,267484,action fantasy magic shounen supernatural tv 8
627,Major S1,"Comedy, Drama, Shounen, Sports",TV,26,8,41061,comedy drama shounen sports tv 8
10937,Mobile Suit Gundam: The Origin,"Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6,8,15420,action mecha military scifi shounen space ova 8
23755,Nanatsu no Taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,24,8,331627,action adventure ecchi fantasy shounen supernatural tv 8
4081,Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8,210736,drama fantasy shoujo slice of life supernatural tv 8
4155,One Piece Film: Strong World,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8,85020,action adventure comedy drama fantasy shounen movie 8
1889,Higurashi no Naku Koro ni Kai,"Mystery, Psychological, Supernatural, Thriller",TV,24,8,218101,mystery psychological supernatural thriller tv 8
137,Hunter x Hunter OVA,"Action, Adventure, Shounen, Super Power",OVA,8,8,53168,action adventure shounen super power ova 8
139,Hunter x Hunter: Greed Island Final,"Action, Adventure, Shounen, Super Power",OVA,14,8,55787,action adventure shounen super power ova 8
23317,Kuroshitsuji: Book of Murder,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",OVA,2,8,67261,comedy demons fantasy historical mystery shounen supernatural ova 8
558,Major S2,"Comedy, Drama, Shounen, Sports",TV,26,8,30689,comedy drama shounen sports tv 8
5040,One Outs,"Psychological, Seinen, Sports",TV,25,8,83056,psychological seinen sports tv 8
57,Beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,8,148328,comedy drama music shounen slice of life tv 8
33,Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,8,226430,action adventure demons drama fantasy horror military romance seinen supernatural tv 8
5,Cowboy Bebop: Tengoku no Tobira,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,8,137636,action drama mystery scifi space movie 8
1842,Major S3,"Drama, Shounen, Sports",TV,26,8,29528,drama shounen sports tv 8
6336,Mobile Suit Gundam Unicorn,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,7,8,42076,action drama mecha military scifi space ova 8
20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",OVA,1,8,28302,drama fantasy shoujo slice of life supernatural ova 8
1210,NHK ni Youkoso!,"Comedy, Drama, Psychological, Romance",TV,24,8,291228,comedy drama psychological romance tv 8
338,Rose of Versailles,"Adventure, Drama, Historical, Romance, Shoujo",TV,40,8,32188,adventure drama historical romance shoujo tv 8
13759,Sakurasou no Pet na Kanojo,"Comedy, Drama, Romance, School, Slice of Life",TV,24,8,380375,comedy drama romance school slice of life tv 8
6547,Angel Beats!,"Action, Comedy, Drama, School, Supernatural",TV,13,8,717796,action comedy drama school supernatural tv 8
5081,Bakemonogatari,"Mystery, Romance, Supernatural, Vampire",TV,15,8,482268,mystery romance supernatural vampire tv 8
32867,Bungou Stray Dogs 2nd Season,"Mystery, Seinen, Supernatural",TV,12,8,83641,mystery seinen supernatural tv 8
264,Hajime no Ippo: Champion Road,"Comedy, Shounen, Sports",Special,1,8,47840,comedy shounen sports special 8
12859,One Piece Film: Z,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8,76051,action adventure comedy drama fantasy shounen movie 8
853,Ouran Koukou Host Club,"Comedy, Harem, Romance, School, Shoujo",TV,26,8,422271,comedy harem romance school shoujo tv 8
5460,Detective Conan Movie 13: The Raven Chaser,"Action, Mystery, Police, Shounen",Movie,1,8,21798,action mystery police shounen movie 8
6746,Durarara!!,"Action, Mystery, Supernatural",TV,24,8,556431,action mystery supernatural tv 8
5690,Nodame Cantabile Finale,"Comedy, Josei, Music, Romance",TV,11,8,67697,comedy josei music romance tv 8
329,Planetes,"Drama, Romance, Sci-Fi, Seinen, Space",TV,26,8,105044,drama romance scifi seinen space tv 8
34240,Shelter,"Music, Sci-Fi",Music,1,8,71136,music scifi music 8
513,Tenkuu no Shiro Laputa,"Adventure, Fantasy, Romance, Sci-Fi",Movie,1,8,151061,adventure fantasy romance scifi movie 8
6945,Gintama: Shiroyasha Koutan,"Action, Comedy, Historical, Parody, Sci-Fi",Special,1,8,27213,action comedy historical parody scifi special 8
1142,Hachimitsu to Clover II,"Drama, Josei, Romance",TV,12,8,61493,drama josei romance tv 8
6811,InuYasha: Kanketsu-hen,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",TV,26,8,99128,action adventure comedy demons fantasy magic romance shounen supernatural tv 8
16664,Kaguya-hime no Monogatari,"Fantasy, Historical",Movie,1,8,45547,fantasy historical movie 8
1604,Katekyo Hitman Reborn!,"Action, Comedy, Shounen, Super Power",TV,203,8,258103,action comedy shounen super power tv 8
22145,Kuroshitsuji: Book of Circus,"Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",TV,10,8,122895,comedy demons fantasy historical shounen supernatural tv 8
2966,Ookami to Koushinryou,"Adventure, Fantasy, Historical, Romance",TV,13,8,334932,adventure fantasy historical romance tv 8
31964,Boku no Hero Academia,"Action, Comedy, School, Shounen, Super Power",TV,13,8,282002,action comedy school shounen super power tv 8
19363,Gin no Saji 2nd Season,"Comedy, School, Shounen, Slice of Life",TV,11,8,67032,comedy school shounen slice of life tv 8
18195,Little Busters!: Refrain,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,13,8,71820,comedy drama romance school slice of life supernatural tv 8
9890,Major: Message,"Comedy, Drama, Sports",OVA,1,8,12282,comedy drama sports ova 8
9130,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",OVA,13,8,27532,action adventure martial arts shounen super power supernatural ova 8
9863,SKET Dance,"Comedy, School, Shounen",TV,77,8,101027,comedy school shounen tv 8
7674,Bakuman.,"Comedy, Romance, Shounen",TV,25,8,246899,comedy romance shounen tv 8
11843,Danshi Koukousei no Nichijou,"Comedy, School, Shounen, Slice of Life",TV,12,8,258914,comedy school shounen slice of life tv 8
16782,Kotonoha no Niwa,"Drama, Psychological, Romance, Slice of Life",Movie,1,8,189741,drama psychological romance slice of life movie 8
28675,Kyoukai no Kanata Movie: I&#039;ll Be Here - Mirai-hen,"Fantasy, Slice of Life, Supernatural",Movie,1,8,59815,fantasy slice of life supernatural movie 8
3226,Major S4,"Comedy, Drama, Shounen, Sports",TV,26,8,28002,comedy drama shounen sports tv 8
21557,Omoide no Marnie,"Drama, Mystery, Psychological",Movie,1,8,53590,drama mystery psychological movie 8
31715,Working!!!: Lord of the Takanashi,"Comedy, Romance, Slice of Life",Special,1,8,31856,comedy romance slice of life special 8
43,Ghost in the Shell,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,8,223036,action mecha police psychological scifi seinen movie 8
9617,K-On! Movie,"Comedy, Music, Slice of Life",Movie,1,8,115252,comedy music slice of life movie 8
31051,Kuroko no Basket: Saikou no Present Desu,"Action, School, Shounen, Sports",Special,1,8,22900,action school shounen sports special 8
10153,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s,"Action, Comedy, Drama, Magic, Super Power",Movie,1,8,13315,action comedy drama magic super power movie 8
1033,Sennen Joyuu,"Action, Adventure, Drama, Fantasy, Historical, Romance",Movie,1,8,58492,action adventure drama fantasy historical romance movie 8
32188,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,"Sci-Fi, Thriller",Special,1,8,38147,scifi thriller special 8
3091,xxxHOLiC Kei,"Comedy, Drama, Mystery, Psychological, Supernatural",TV,13,8,74941,comedy drama mystery psychological supernatural tv 8
12115,Berserk: Ougon Jidai-hen III - Kourin,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural",Movie,1,8,65594,action adventure demons drama fantasy horror military seinen supernatural movie 8
28223,Death Parade,"Drama, Game, Mystery, Psychological, Thriller",TV,12,8,383914,drama game mystery psychological thriller tv 8
121,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51,8,600384,action adventure comedy drama fantasy magic military shounen tv 8
3002,Gyakkyou Burai Kaiji: Ultimate Survivor,"Game, Psychological, Seinen, Thriller",TV,26,8,98996,game psychological seinen thriller tv 8
138,Hunter x Hunter: Greed Island,"Action, Adventure, Shounen, Super Power",OVA,8,8,57029,action adventure shounen super power ova 8
6675,Redline,"Action, Cars, Sci-Fi, Sports",Movie,1,8,109392,action cars scifi sports movie 8
10800,Chihayafuru,"Drama, Game, Josei, Slice of Life, Sports",TV,25,8,158561,drama game josei slice of life sports tv 8
32005,Detective Conan Movie 20: The Darkest Nightmare,"Action, Mystery, Police, Shounen",Movie,1,8,6229,action mystery police shounen movie 8
813,Dragon Ball Z,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,291,8,375662,action adventure comedy fantasy martial arts shounen super power tv 8
